Setting in design.json,Setting in MakeHuman,Comment,Example
,armslegs/r-foot-trans-backward|forward,"-1 .. 1, default 0",
,mouth/mouth-trans-backward|forward,"-1 .. 1, default 0",
,torso/torso-trans-backward|forward,"-1 .. 1, default 0",
move_eye_horizontally,eyes/l-eye-trans-in|out,"-1 .. 1, default 0",
,eyes/r-eye-trans-in|out,"-1 .. 1, default 0",
move_eye_vertically,eyes/l-eye-trans-down|up,"-1 .. 1, default 0",
,eyes/r-eye-trans-down|up,"-1 .. 1, default 0",
move_horizontally,armslegs/r-foot-trans-in|out,"-1 .. 1, default 0",
,neck/neck-trans-in|out,"-1 .. 1, default 0",
,hip/hip-trans-in|out,"-1 .. 1, default 0",
,head/head-trans-in|out,"-1 .. 1, default 0",
,nose/nose-trans-in|out,"-1 .. 1, default 0",
,torso/torso-trans-in|out,"-1 .. 1, default 0",
,armslegs/l-foot-trans-in|out,"-1 .. 1, default 0",
,mouth/mouth-trans-in|out,"-1 .. 1, default 0",
move_inner_corner_horiz,eyes/l-eye-push2-in|out,"-1 .. 1, default 0",
,eyes/r-eye-push2-in|out,"-1 .. 1, default 0",
move_inner_corner_vert,eyes/r-eye-corner2-down|up,"-1 .. 1, default 0",
,eyes/l-eye-corner2-down|up,"-1 .. 1, default 0",
move_knee_horizontally,armslegs/l-leg-valgus-decr|incr,"-1 .. 1, default 0",
,armslegs/r-leg-valgus-decr|incr,"-1 .. 1, default 0",
move_knee_vertically,armslegs/r-upperleg-scale-vert-decr|incr,"-1 .. 1, default 0",
,armslegs/l-upperleg-scale-vert-decr|incr,"-1 .. 1, default 0",
move_outer_corner_horiz,eyes/l-eye-push1-in|out,"-1 .. 1, default 0",
,eyes/r-eye-push1-in|out,"-1 .. 1, default 0",
move_outer_corner_vert,eyes/r-eye-corner1-down|up,"-1 .. 1, default 0",
,eyes/l-eye-corner1-down|up,"-1 .. 1, default 0",
move_tip_vertically,nose/nose-point-down|up,"-1 .. 1, default 0",
move_vert,eyebrows/eyebrows-trans-down|up,"-1 .. 1, default 0",
move_vertically,ears/l-ear-trans-down|up,"-1 .. 1, default 0",
,neck/neck-trans-down|up,"-1 .. 1, default 0",
,mouth/mouth-trans-down|up,"-1 .. 1, default 0",
,head/head-trans-down|up,"-1 .. 1, default 0",
,hip/hip-trans-down|up,"-1 .. 1, default 0",
,ears/r-ear-trans-down|up,"-1 .. 1, default 0",
,cheek/l-cheek-trans-down|up,"-1 .. 1, default 0",
,cheek/r-cheek-trans-down|up,"-1 .. 1, default 0",
,nose/nose-trans-down|up,"-1 .. 1, default 0",
,torso/torso-trans-down|up,"-1 .. 1, default 0",
muscle,setMuscle,"0 .. 1, default 0.5",
muscular_tone,stomach/stomach-tone-decr|incr,"-1 .. 1, default 0",
nape_to_waist,measure/measure-napetowaist-dist-decr|incr,"-1 .. 1, default 0",
navel_bump,stomach/stomach-navel-in|out,"-1 .. 1, default 0",
navel_position,stomach/stomach-navel-down|up,"-1 .. 1, default 0",
neck_circum,measure/measure-neck-circ-decr|incr,"-1 .. 1, default 0",
neck_height,measure/measure-neck-height-decr|incr,"-1 .. 1, default 0",
nipple_point,breast/nipple-point-decr|incr,"-1 .. 1, default 0",
nipple_size,breast/nipple-size-decr|incr,"-1 .. 1, default 0",
nostrils_angle,nose/nose-nostrils-angle-down|up,"-1 .. 1, default 0",
oval,head/head-oval,"0 .. 1, default 0.5",
pelvis_muscular_tone,pelvis/pelvis-tone-decr|incr,"-1 .. 1, default 0",
penis_circumference,genitals/penis-circ-decr|incr,"-1 .. 1, default 0",
penis_length,genitals/penis-length-decr|incr,"-1 .. 1, default 0",
pointiness,breast/breast-point-decr|incr,"-1 .. 1, default 0",
pregnancy_shape,stomach/stomach-pregnant-decr|incr,"-1 .. 1, default 0",
proportions,setProportions,"0 .. 1, default 0.5",
rectangular,head/head-rectangular,"0 .. 1, default 0.5",
round,head/head-round,"0 .. 1, default 0.5",
scale_cheek_prominence,cheek/l-cheek-bones-decr|incr,"-1 .. 1, default 0",
,cheek/r-cheek-bones-decr|incr,"-1 .. 1, default 0",
scale_chin_angular,chin/chin-bones-decr|incr,"-1 .. 1, default 0",
scale_chin_height,chin/chin-height-decr|incr,"-1 .. 1, default 0",
scale_chin_prognathism,chin/chin-prognathism-decr|incr,"-1 .. 1, default 0",
scale_chin_prominence,chin/chin-prominent-decr|incr,"-1 .. 1, default 0",
scale_chin_width,chin/chin-width-decr|incr,"-1 .. 1, default 0",
scale_cone_shape,torso/torso-vshape-decr|incr,"-1 .. 1, default 0",
scale_depth,neck/neck-scale-depth-decr|incr,"-1 .. 1, default 0",
,head/head-scale-depth-decr|incr,"-1 .. 1, default 0",
,hip/hip-scale-depth-decr|incr,"-1 .. 1, default 0",
,mouth/mouth-scale-depth-decr|incr,"-1 .. 1, default 0",
